model,tuned,MAE,MAE_std,RMSE,RMSE_std,R2,R2_std,training_time_s
RandomForest,True,878570058.6318691,515043519.44486004,4278932018.5653086,4365159001.790834,0.27185126471413856,0.24504771778836895,1.39
GradientBoosting,True,934195484.6115465,570892584.3810445,4183634540.1111917,4840176058.662885,0.2226198849209508,0.47344499847233446,0.7
DecisionTree,False,978387573.5069277,533309863.95493084,4303823879.423561,3890713350.710367,-0.3171504088210619,1.271221013359865,0.01
LinearRegression,False,1067647629.6760228,309359181.301262,4001751114.7787614,2960508035.146801,-0.00486642983450325,0.40981348540219864,0.01
Ridge,False,1165851881.7841995,267481437.47197276,4195449380.1178236,2782663709.4579763,-0.3780642835762308,0.7688357957947071,0.02
Lasso,False,1225395916.1336143,239841340.34513563,4353045014.661947,2662217352.618381,-0.7993089721267184,1.3892918188873025,0.04
