model,tuned,MAE,MAE_std,RMSE,RMSE_std,R2,R2_std,training_time_s
GradientBoosting,True,790069835.0946306,479862176.3645694,3825942924.5164504,3938134043.841609,0.2427771875825005,0.5307607005232894,1.38
RandomForest,True,807489698.5337986,546255604.7568917,4366194913.236402,4637122038.526592,0.3020084817061502,0.2815270235947387,1.37
DecisionTree,False,823265800.7721288,450728036.6962805,3893292389.5625,3670654575.301931,0.10967534603709492,0.6445836194963849,0.02
LinearRegression,False,1067647629.6760229,309359181.3012621,4001751114.7787614,2960508035.146802,-0.004866429834503383,0.4098134854021986,0.01
Ridge,False,1194191225.092605,249368182.37969705,4226047496.652936,2751445469.0611663,-0.45326158828803165,0.8559631151585818,0.01
Lasso,False,1237378331.7362118,224876834.66496304,4332069072.432599,2669991115.863285,-0.7152474411864473,1.208874072459547,0.04
