actor,type,bankability_score,film_count
Prakash Raj,actor,1.8018,3
Kabir Bedi,actor,1.8017,2
Anil Kapoor,actor,1.8012,28
Shammi Kapoor,actor,1.8012,2
Darshan Jariwala,actor,1.8011,1
R. Balki,director,1.8011,5
Kalpana Iyer,actor,1.8007,1
Neetha Ashok,actor,1.8007,1
Anup Bhandari,director,1.8007,1
Ritesh Batra,director,1.8007,1
Kim,actor,1.8007,1
Nirup Bhandari,actor,1.8007,1
Armaan Ralhan,actor,1.8003,1
Madhuri Dixit,actor,1.8,18
Kiran Juneja,actor,1.7999,1
Rekha,actor,1.7992,4
Nitish Bharadwaj,actor,1.7991,1
Abhishek Banerjee,actor,1.7991,1
Ananya Panday,actor,1.7987,1
Manoj Pahwa,actor,1.7983,1
Lisa Haydon,actor,1.7979,1
Punit Malhotra,director,1.7975,2
Shruti Haasan,actor,1.7975,2
Ileana D'Cruz,actor,1.7973,7
Kartik Aaryan,actor,1.7971,7
Robin Das,actor,1.7971,1
Sunil Thapa,actor,1.7971,1
Lara Dutta,actor,1.7968,6
Mrighdeep Lamba,director,1.7962,2
Prabhas,actor,1.7958,1
Omkar Kapoor,actor,1.7958,1
Nikkhil Advani,director,1.7957,4
Disha Patani,actor,1.7954,3
Bárbara Mori,actor,1.7953,1
Imtiaz Ali,director,1.7949,4
Anurag Basu,director,1.7947,5
Om Puri,actor,1.7947,10
Sylvester Stallone,actor,1.7944,1
Denise Richards,actor,1.7944,1
Brandon Routh,actor,1.7944,1
Sohail Khan,actor,1.7943,6
David Dhawan,director,1.7942,25
Kareena Kapoor,actor,1.7941,27
Sabyasachi Chakrabarty,actor,1.794,1
Shraddha Kapoor,actor,1.794,10
Jitendra Kumar,actor,1.7935,1
Hitesh Kewalya,director,1.7935,1
Adil Hussain,actor,1.7935,1
Mehdi Nebbou,actor,1.7935,1
Shiney Ahuja,actor,1.793,1
Indraneil Sengupta,actor,1.7916,1
Shahid Kapoor,actor,1.7914,24
Shoojit Sircar,director,1.7911,4
Bejoy Nambiar,director,1.7911,1
Sunil Grover,actor,1.7909,2
Meghna Gulzar,director,1.7906,4
Tara Sutaria,actor,1.7905,2
Shabana Azmi,actor,1.7898,5
Neeraj Pandey,director,1.7897,5
Parthaa Akerkar,actor,1.7896,1
Vaani Kapoor,actor,1.7893,4
Asin Thottumkal,actor,1.7889,5
Zenobia Shroff,actor,1.7885,1
Sammir Dattani,actor,1.788,1
Simran Kaur Mundi,actor,1.788,1
Karan Malhotra,director,1.7875,2
Indra Kumar,director,1.7873,12
Priyanka Chopra Jonas,actor,1.787,20
James Erskine,director,1.7869,2
Mikhail Gandhi,actor,1.7869,2
Sachin Tendulkar,actor,1.7869,2
Anjali Tendulkar,actor,1.7869,2
Deb Mukherjee,actor,1.7869,1
Mohit Suri,director,1.7867,7
Kumud Mishra,actor,1.7864,2
Amole Gupte,actor,1.7863,2
Aubrey K. Miller,actor,1.7858,1
Shuruti Kumari,actor,1.7858,1
Vidya Balan,actor,1.7858,18
Abbas Alibhai Burmawalla,director,1.7857,14
Mastan Alibhai Burmawalla,actor,1.7857,14
Sridevi,actor,1.7856,6
Umesh Shukla,director,1.7854,2
Pooja Hegde,actor,1.7854,2
Gitanjali Rao,actor,1.7852,1
Gopi Puthran,director,1.7852,1
Banita Sandhu,actor,1.7852,1
Sunny Hinduja,actor,1.7852,1
Prashant Narayanan,actor,1.7852,1
Vikrant Massey,actor,1.7849,2
Raashi Khanna,actor,1.7847,1
Huma Qureshi,actor,1.7847,3
Yami Gautam,actor,1.7846,6
K. Raghavendra Rao,director,1.7841,1
Amjad Khan,actor,1.7841,1
Sonam Kapoor,actor,1.7841,13
Sajal Ali,actor,1.7841,1
Ravi Udyawar,director,1.7841,1
Ali Zafar,actor,1.784,3
Ronit Roy,actor,1.7839,2
Aditya Roy Kapoor,actor,1.7837,7
Ashutosh Gowariker,director,1.7836,5
R.S. Prasanna,director,1.7835,1
Sachin Yardi,director,1.7835,1
Seema Bhargava,actor,1.7835,1
Siddharth,actor,1.7834,2
Abhinay Deo,director,1.7834,2
Subhash Kapoor,director,1.7833,3
Paresh Rawal,actor,1.7832,12
Vinil Mathew,director,1.7829,1
Padmini Kolhapure,actor,1.7829,1
Kriti Sanon,actor,1.7824,6
Saahil Prem,actor,1.7822,1
Imran Khan,actor,1.7822,9
Esha Gupta,actor,1.7822,1
Nitya Mehra,director,1.7822,1
Parvin Dabas,actor,1.7822,1
Vir Das,actor,1.7818,3
Gauahar Khan,actor,1.7816,1
Ganesh Acharya,actor,1.7816,1
Sujoy Ghosh,director,1.7816,2
Tridha Choudhury,actor,1.781,1
Sayani Gupta,actor,1.7809,3
Soha Ali Khan,actor,1.7808,2
Rajat Kapoor,actor,1.7806,3
Sushant Singh Rajput,actor,1.7806,8
Priyanka Sharma,actor,1.7803,1
Luv Ranjan,director,1.7801,4
Ayushmann Khurrana,actor,1.7798,12
Jisshu Sengupta,actor,1.7797,1
Shree Narayan Singh,director,1.7797,1
Nikitin Dheer,actor,1.7797,1
Parth Bhalerao,actor,1.7797,1
Robbie Grewal,director,1.7797,1
Vinod Khanna,actor,1.7792,5
Madhavan,actor,1.7792,6
Diljit Dosanjh,actor,1.779,3
Maneesh Sharma,director,1.7789,5
Kunal Kohli,director,1.7785,3
Vikramjit Singh,director,1.7783,1
Nathan Jones,actor,1.7783,1
Jacqueline Fernandez,actor,1.7782,11
Radhika Apte,actor,1.7781,6
Riteish Deshmukh,actor,1.778,23
Madhurjeet Sarghi,actor,1.7776,1
Shivam Nair,director,1.7776,1
Aftab Shivdasani,actor,1.7775,5
Sangeeth Sivan,director,1.7771,4
Annu Kapoor,actor,1.7769,1
Nicole Faria,actor,1.7769,1
Himansh Kohli,actor,1.7769,1
Udita Goswami,actor,1.7764,5
Dimple Kapadia,actor,1.7763,4
Dhanush,actor,1.7761,2
Rani Mukerji,actor,1.7758,25
Shimit Amin,director,1.7757,2
Anthony D'Souza,director,1.7754,2
Durgesh Kumar,actor,1.7754,1
Toby Stephens,actor,1.7747,1
Tahir Raj Bhasin,actor,1.7744,4
Prachi Desai,actor,1.7741,2
Kunal Deshmukh,director,1.7741,2
Meiyang Chang,actor,1.7739,1
Parmeet Sethi,director,1.7739,1
Radha Sagar,actor,1.7739,1
Randhir Kapoor,actor,1.7739,1
Girish Taurani,actor,1.7739,1
Abhijit Panse,director,1.7739,1
Waheeda Rehman,actor,1.7739,1
Manjot Singh,actor,1.7739,1
Suresh Triveni,director,1.7739,1
Divyendu Sharma,actor,1.7736,3
Manav Kaul,actor,1.7736,2
Rajkumar Santoshi,director,1.7733,10
Prakash Kovelamudi,director,1.7731,1
Amyra Dastur,actor,1.7731,1
Sanjay Gadhvi,director,1.773,4
Mouni Roy,actor,1.7729,3
Rashmika Mandanna,actor,1.7725,2
Raghuvir Yadav,actor,1.7724,2
Nidhhi Agerwal,actor,1.7723,1
Tarun Arora,actor,1.7723,1
Arjun Kapoor,actor,1.7723,12
Arshad Warsi,actor,1.7719,19
Anupam Kher,actor,1.7717,14
Parineeti Chopra,actor,1.7716,9
Bobby Deol,actor,1.7716,15
Sidharth Malhotra,actor,1.7715,9
Anusha Rizvi,director,1.7715,1
Omkar Das Manikpuri,actor,1.7715,1
Angad Bedi,actor,1.7715,1
Mahmood Farooqui,actor,1.7715,1
Neeraj Vora,director,1.7714,2
Karan Singh Grover,actor,1.7712,2
