actor,type,bankability_score,film_count
Shabana Raza,actor,1.7247,1
Mehul Kumar,director,1.7247,1
Shreya Dhanwanthary,actor,1.7247,1
Gurmeet Choudhary,actor,1.7247,1
Sana Khaan,actor,1.7247,1
Shreyas Talpade,actor,1.7243,5
Nushrat Bharucha,actor,1.7232,3
Pradeep Sarkar,director,1.7225,3
Lakshmi,actor,1.7219,1
Priyanshu Chatterjee,actor,1.7219,1
Rajiv Kapoor,director,1.7219,1
Sameer Malkan,director,1.7219,1
Lauren Gottlieb,actor,1.7219,1
Anand Gandhi,actor,1.7219,1
Adesh Prasad,actor,1.7219,1
Rahi Anil Barve,director,1.7219,1
Sanya Malhotra,actor,1.7219,1
K.S. Sethumadhavan,director,1.7219,1
Vikram Makandar,actor,1.7219,1
Ravi Jadhav,director,1.7219,1
Nadira,actor,1.7219,1
Amruta Khanvilkar,actor,1.7219,1
Ahsaas Channa,actor,1.7219,1
Shyam Benegal,director,1.7219,1
Kainaz Motivala,actor,1.7219,1
Anjori Alagh,actor,1.7219,1
Rajniesh Duggall,actor,1.7219,1
Aditya Kumar,actor,1.7219,1
Rajat Kaul,actor,1.7219,1
Shatrughan Sinha,actor,1.7218,2
Nitin Kakkar,director,1.7212,3
Naresh Malhotra,director,1.7208,2
Atul Agnihotri,actor,1.7193,2
Anil Sharma,director,1.7193,7
Kallirroi Tziafeta,actor,1.7188,1
Rajat Mukherjee,director,1.7188,1
Jagdish A. Sharma,director,1.7188,1
E.V.V. Satyanarayana,director,1.7188,1
Soundarya,actor,1.7188,1
Pranavanand,actor,1.7188,1
Bhoomika Chawla,actor,1.7188,1
K. Muralimohana Rao,director,1.7188,1
Shakeel Noorani,director,1.7188,1
Talat Jani,director,1.7188,1
Master Adil,actor,1.7188,1
Vinod Nagpal,actor,1.7188,1
Rohit Jugraj,director,1.7188,1
Sameer Sharma,director,1.7188,1
Rinke Khanna,actor,1.7188,1
Lillete Dubey,actor,1.7188,1
Karan Deol,actor,1.7188,1
Paul Blackwell,actor,1.7188,1
Sahher Bambba,actor,1.7188,1
Gulshan Grover,actor,1.7188,1
Gautam Rode,actor,1.7188,1
Vijay K. Bhaskar,director,1.7188,1
Guddu Dhanoa,director,1.7181,4
Lawrence D'Souza,director,1.718,2
Shakti Kapoor,actor,1.7176,3
Ananth Narayan Mahadevan,director,1.7176,3
Hansal Mehta,director,1.7174,3
Madhur Bhandarkar,director,1.7171,6
Abhishek Sharma,director,1.7165,3
Antara Mali,actor,1.7161,2
Vidhu Vinod Chopra,director,1.7159,2
Kuku Kohli,director,1.7158,3
Zain Khan Durrani,actor,1.7154,1
Shadab Kamal,actor,1.7154,1
Dibyendu Bhattacharya,actor,1.7154,1
Aadil Khan,actor,1.7154,1
Ashim Ahluwalia,director,1.7154,1
Shilpa Shukla,actor,1.7154,1
Reema Sen,actor,1.7154,1
Farogh Siddique,director,1.7154,1
Arif Khan,actor,1.7154,1
D. Santosh,actor,1.7154,1
Raam Shetty,director,1.7154,1
Aishwarya Rajesh,actor,1.7154,1
Dino Morea,actor,1.7154,1
Sadia Khateeb,actor,1.7154,1
Sarika,actor,1.7154,1
Gulshan Devaiah,actor,1.7136,5
Zoya Akhtar,director,1.7129,4
Aditya Datt,director,1.7126,2
Mani Shankar,director,1.7125,3
Ramesh Sippy,director,1.7124,4
S. Shankar,director,1.7122,2
Shenaz Treasury,actor,1.7117,1
Bumpy,director,1.7117,1
Nitin Bose,director,1.7117,1
Nasir Khan,actor,1.7117,1
Dilip Kumar,actor,1.7117,1
Dia Mirza,actor,1.7117,1
Gautham Vasudev Menon,director,1.7117,1
Manoj Kumar,actor,1.7117,2
Zeenat Aman,actor,1.7117,1
Mahesh Anand,actor,1.7117,1
Tony Juneja,director,1.7117,1
Tom Alter,actor,1.7117,1
Svar Kamble,actor,1.7117,1
Padmapriya,actor,1.7117,1
Deva Katta,director,1.7117,1
Rajinikanth,actor,1.7117,1
Shamita Shetty,actor,1.7117,1
Harish,actor,1.7107,2
Aruna Irani,actor,1.7106,2
Mahesh Bhatt,director,1.7105,7
Neha Sharma,actor,1.7093,3
Kalki Koechlin,actor,1.7082,3
Mehboob Khan,director,1.7077,1
Sunil Dutt,actor,1.7077,1
Karann Nathh,actor,1.7077,1
Jividha Sharma,actor,1.7077,1
Kirti Kumar,director,1.7077,1
Sharokh Bharucha,actor,1.7077,1
Shriya Pilgaonkar,actor,1.7074,3
Vyjayanthimala,actor,1.706,2
Saif Ali Khan,actor,1.7057,30
Jackky Bhagnani,actor,1.7045,3
Sanjay Kapoor,actor,1.7045,3
Rajesh Khanna,actor,1.7031,3
Esha Deol,actor,1.7031,1
Sanjay Chhel,director,1.7031,1
Michalina Olszanska,actor,1.7031,1
Akanksha Puri,actor,1.7031,1
Kyra Dutt,actor,1.7031,1
Karan Anshuman,director,1.7031,1
Kanchan,actor,1.7031,1
Karan Kapadia,actor,1.7031,1
Chandni,actor,1.7031,1
Saawan Kumar Tak,director,1.7031,1
Behzad Khambata,director,1.7031,1
Karanvir Sharma,actor,1.7031,1
Avani Modi,actor,1.7031,1
Jeetendra,actor,1.703,2
Navdeep Singh,director,1.7024,2
Sadashiv Amrapurkar,actor,1.7017,2
N. Chandra,director,1.6995,2
Madhoo,actor,1.6983,3
Sonakshi Sinha,actor,1.6981,13
Anang Desai,actor,1.698,1
Rama Rao Tatineni,director,1.698,1
Partho A. Gupte,actor,1.698,1
Ishrat Ali,actor,1.698,1
Numaan Sheikh,actor,1.698,1
Abhishek Reddy,actor,1.698,1
Aatish Kapadia,director,1.698,1
Riddhi Sen,actor,1.698,1
Jack Gaud,actor,1.698,1
Ishita Chauhan,actor,1.698,1
Utkarsh Sharma,actor,1.698,1
Iqbal Durrani,director,1.698,1
Anil George,actor,1.698,1
Rajeev Mehta,actor,1.698,1
Sahil Khan,actor,1.698,1
Deepak Tijori,actor,1.6979,4
Rajendra Kumar,actor,1.6963,3
Tota Roy Chowdhury,actor,1.6953,2
Riya Shukla,actor,1.692,1
Swara Bhaskar,actor,1.692,1
M.A. Thirumugham,director,1.692,1
David Abraham,actor,1.692,1
Mukul Anand,director,1.692,1
Rajpal Yadav,actor,1.692,1
Ayesha Jhulka,actor,1.692,1
Aditya Seal,actor,1.692,1
Peter Pedrero,actor,1.692,1
Mir Mohammed Mehroos,actor,1.692,1
Pranutan Bahl,actor,1.692,1
Zaheer Iqbal,actor,1.692,1
Alok Nath,actor,1.692,1
Atul Kulkarni,actor,1.692,1
K.C. Bokadia,director,1.692,1
Bobby Raj,director,1.692,1
Ashwani Dhir,director,1.6879,4
Rhea Chakraborty,actor,1.6875,4
Pavail Gulati,actor,1.6863,3
Avtar Gill,actor,1.685,1
Harnam Singh Rawail,director,1.685,1
Sadhana,actor,1.685,1
Ashok Kumar,actor,1.685,1
Rahul Roy,actor,1.685,1
Goga Kapoor,actor,1.685,1
Divya Dutta,actor,1.685,1
Birbal,actor,1.685,1
Mona Ambegaonkar,actor,1.685,1
Vishnuvardhan,actor,1.685,1
Jitender Bhargava,actor,1.685,1
Rahul Rawail,director,1.685,1
Anu Agrawal,actor,1.685,1
Vinnil Markan,director,1.685,1
Rahul Singh,actor,1.685,1
Kritika Kamra,actor,1.685,1
Rajesh Pillai,director,1.685,1
Anant Thakur,director,1.685,1
Suchitra Krishnamoorthi,actor,1.685,1
Gope,actor,1.685,1
Sikander Bharti,director,1.685,1
Govinda,actor,1.6837,22
Abhishek Dogra,director,1.6835,2
Rumi Jaffery,director,1.6793,2
Pawan Kripalani,director,1.6788,2
Tanuja,actor,1.6771,2
Zoya Hussain,actor,1.6763,1
Jasmine D'Souza,director,1.6763,1
Tanuj Virwani,actor,1.6763,1
Devang Dholakia,director,1.6763,1
Evelyn Sharma,actor,1.6763,1
Sudhanshu Hakku,director,1.6763,1
Narendra Jetley,actor,1.6763,1
Dhritiman Chatterjee,actor,1.6763,1
Manav Vij,actor,1.6763,1
Joy Augustine,actor,1.6763,1
Divyank Sharma,actor,1.6763,1
Pushpdeep Bhardwaj,director,1.6763,1
Neeraj Ghaywan,director,1.6763,1
Sanjay Mishra,actor,1.6763,1
Varun Mitra,actor,1.6763,1
Karan Johar,director,1.6761,8
Supriya Pathak,actor,1.6751,3
Saswata Chatterjee,actor,1.6713,2
Ashish Vidyarthi,actor,1.6673,2
Sobhita Dhulipala,actor,1.6652,1
Mangesh Hadawale,director,1.6652,1
Kapri Vinod,director,1.6652,1
Prerna Vishwakarma,actor,1.6652,1
Rahul Bagga,actor,1.6652,1
Rasika Dugal,actor,1.6652,1
Sharmin Segal,actor,1.6652,1
Amrita Bagchi,actor,1.6652,1
Chinmayee Surve,actor,1.6652,1
Nandita Das,director,1.6652,1
Poonam Dhillon,actor,1.6652,1
Abhishek Bharate,actor,1.6652,1
Navjot Gulati,director,1.6652,1
Anu Menon,director,1.6652,1
Riya Sisodiya,actor,1.6652,1
Hrishikesh Mukherjee,director,1.6652,1
Meezaan Jafri,actor,1.6652,1
Usha Kiran,actor,1.6652,1
Jeethu Joseph,director,1.6652,1
Nivedita Bhattacharya,actor,1.6652,1
Ravikant Nagaich,director,1.6652,1
Sujit Kumar,actor,1.6652,1
Pihu Myra Vishwakarma,actor,1.6652,1
Tabrez Noorani,director,1.6652,1
Jennifer Antony,actor,1.6652,1
Digangana Suryavanshi,actor,1.6629,2
Sunil Shetty,actor,1.6555,18
Rukshar Dhillon,actor,1.6496,1
Sneha Taurani,director,1.6496,1
Sunny Kaushal,actor,1.6496,1
Kangana Ranaut,actor,1.6412,14
Naseeruddin Shah,actor,1.6254,12
Rahul Dholakia,director,1.6228,1
Anurag Kashyap,director,1.6105,6
Prateik,actor,1.5918,2
Sunny Leone,actor,1.5632,6
Rajesh Sharma,actor,1.5627,4
Arjun Rampal,actor,1.51,12
Dibakar Banerjee,director,1.4712,2
Asif Basra,actor,1.4169,2
Abhay Deol,actor,1.3787,4
Sabir Khan,director,1.3094,4
Neil Bhoopalam,actor,1.256,2
Akshat Verma,actor,1.1317,2
Pallavi Sharda,actor,1.0,1
Kriti Malhotra,actor,1.0,1
Monica Dogra,actor,1.0,1
Srijit Mukherji,director,1.0,1
Kiran Rao,director,1.0,1
Sunhil Sippy,director,1.0,1
Chloé Booyens,actor,1.0,1
Abhimanyu Dasani,actor,1.0,1
Razneesh Ghai,director,1.0,1
Patralekhaa Paul,actor,1.0,1
Sharib Hashmi,actor,1.0,1
Faraz Haider,director,1.0,1
Shirley Setia,actor,1.0,1
Samir Soni,actor,1.0,1
